                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   01 01 003145.02   1.23   67.12  10 5.40 Mw CMT  12937
 PDE   2007   01 01 003706.57  -5.57  133.85  26 5.20 Mw CMT  11639
 PDE   2007   01 01 010513.47  32.80  -39.82  10 5.00 Mw CMT   6064
 PDE   2007   01 01 023517.17 -18.30 -174.78  35 5.00 mb GS   10360
 PDE   2007   01 02 031311.78  27.11  140.12 354 5.20 Mw CMT   8108
 PDE   2007   01 02 133641.95  47.35  155.62  10 5.10 Mw CMT   5488
 PDE   2007   01 02 161347.60 -17.52 -174.42 122 5.20 mb GS   10266
 PDE   2007   01 02 174354.10 -11.24  -79.29  35 5.00 mb GS    8719
 PDE   2007   01 02 195643.62  18.74 -107.75  10 5.30 MD NM    4886
 PDE   2007   01 02 201904.06  47.39  155.66  10 5.00 mb GS    5482
 PDE   2007   01 03 124730.33   5.45   94.35  30 5.40 mb GS   12078
 PDE   2007   01 03 125938.81  -5.01  151.80  65 5.20 mb GS   10672
 PDE   2007   01 03 190425.37   1.72 -102.20  10 5.20 Mw CMT   6816
 PDE   2007   01 03 232233.48 -10.36  161.14 115 5.20 mb GS   10714
 PDE   2007   01 03 233122.10  -5.44  101.41  30 5.40 mb GS   13022
 PDE   2007   01 03 234815.92  -5.45  101.48  30 5.30 mb GS   13021
 PDE   2007   01 04 092734.89 -17.36  -70.24 113 5.00 mb GS    9656
 PDE   2007   01 04 113634.66  12.29  144.09  30 5.00 Mw CMT   9370
 PDE   2007   01 04 120716.82 -23.26  170.40  52 5.00 mb GS   11522
 PDE   2007   01 04 150814.30 -23.06  169.93   1 5.00 mb GS   11524
 PDE   2007   01 04 205103.71 -22.97 -176.16  75 5.10 mb GS   10891
 PDE   2007   01 05 023001.30   0.55  -25.37  10 5.00 Mw CMT   9911
 PDE   2007   01 05 115404.88   0.25   97.96  30 5.30 Mw S    12531
 PDE   2007   01 05 152328.37  12.23  144.02  14 5.30 Mw CMT   9380
 PDE   2007   01 05 165222.37  55.76 -156.06  18 5.80 Mw S     2439
 PDE   2007   01 06 053944.11 -60.01  153.36  10 5.00 Mw CMT  15634
 PDE   2007   01 06 062722.22  -1.46  -77.73 180 5.00 Mw CMT   7733
 PDE   2007   01 06 083220.32 -59.72  -26.68  77 5.00 mb GS   15451
 PDE   2007   01 06 105412.18  11.67  125.90  66 5.30 mb GS   10290
 PDE   2007   01 06 111020.34 -20.83 -174.39  33 5.10 mb GS   10600
