r rho K_s G_s P    
(km) (kg/m3) (GPa) (GPa) (GPa)  
3400 10029.40 674.3 0.00 144.19 
1600 11946.82 1224.2 0.00 306.15 
0 13088.48 1425.3 176.10 363.85 
200 13079.77 1423.1 175.50 362.90 
6347 2900.00 75.3 44.10 0.60 
600 13010.09 1405.3 171.30 355.28 
6061 3489.51 163.0 77.30 10.20 
2400 11292.98 1015.8 0.00 243.25 
400 13053.64 1416.4 173.90 360.03 
1222 12166.34 1304.7 0.00 328.85 
1000 12870.73 1370.1 163.00 340.24 
1800 11809.00 1177.5 0.00 292.22 
6151 3359.50 127.0 65.60 7.11 
2200 11483.11 1073.5 0.00 260.68 
2800 10853.21 888.9 0.00 205.60 
6221 3367.10 128.7 66.50 4.78 
3200 10327.26 748.4 0.00 165.12 
800 12949.12 1389.8 167.60 348.67 
3480 5566.45 655.6 293.80 135.75 
3000 10601.52 820.2 0.00 185.64 
3800 5406.81 609.5 279.40 117.35 
4000 5307.24 574.4 267.50 106.39 
2000 11654.78 1127.3 0.00 277.04 
4200 5207.13 540.9 255.90 95.76 
6356 2600.00 52.0 26.60 0.34 
4400 5105.90 508.5 244.50 85.43 
1200 12774.93 1346.2 157.40 330.05 
4600 5002.99 476.6 233.10 75.36 
5000 4789.83 412.8 209.80 55.90 
3600 5506.42 644.0 290.70 128.71 
5200 4678.44 380.3 197.90 46.49 
5400 4563.07 347.1 185.60 37.29 
5600 4443.17 313.3 173.00 28.29 
2600 11083.35 954.2 0.00 224.85 
4800 4897.83 444.8 221.50 65.52 
5771 3975.84 248.9 121.00 21.04 
1400 12069.24 1267.9 0.00 318.75 
3630 5491.45 641.2 289.90 126.97 
5971 3543.25 173.5 80.60 13.35 
6291 3374.71 130.3 67.40 2.45 
5871 3849.80 218.1 105.10 17.13 
5701 3992.14 255.6 123.90 23.83 
