Time (fs)  Stress (GPa)
      100      -137.197
      200      -138.175
      300      -138.552
      400      -138.399
      500      -138.374
      600      -138.286
      700      -138.167
      800      -138.111
      900      -138.171
     1000      -138.227
     1100      -138.298
     1200      -138.318
     1300      -138.287
     1400      -138.256
     1500      -138.233
     1600      -138.242
     1700      -138.261
     1800      -138.224
     1900      -138.220
     2000      -138.189
     2100      -138.197
     2200      -138.187
     2300      -138.172
     2400      -138.171
     2500      -138.163
     2600      -138.163
     2700      -138.218
     2800      -138.200
     2900      -138.210
     3000      -138.227
     3100      -138.233
     3200      -138.234
     3300      -138.237
     3400      -138.273
     3500      -138.269
     3600      -138.258
     3700      -138.291
     3800      -138.281
     3900      -138.284
     4000      -138.297
