    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  3491.000                   3473.000                   3465.667
                  3468.000                   3477.600                   3491.333
                  3506.143                   3519.000                   3527.556
                  3530.800                   3528.727                   3522.583
                  3514.692                   3508.143                   3506.200
                  3511.938                   3527.235                   3552.667
                  3587.316                   3629.450                   3676.762
                  3726.864                   3777.522                   3826.750
                  3872.840                   3914.692                   3951.630
                  3983.357                   4009.759                   4030.767
                  4046.355                   4056.656                   4062.152
                  4063.853                   4063.314                   4062.306
                  4062.243                   4063.711                   4066.385
                  4069.200                   4070.829                   4070.048
                  4065.977                   4058.250                   4047.044
                  4033.000                   4017.149                   4000.688
                  3984.857                   3970.740                   3959.157
                  3950.519                   3944.925                   3942.148
                  3941.709                   3942.964                   3945.211
                  3947.707                   3949.746                   3950.783
                  3950.459                   3948.726                   3945.841
                  3942.328                   3938.877                   3936.212
                  3934.940                   3935.485                   3938.043
                  3942.514                   3948.535                   3955.528
                  3962.849                   3969.905                   3976.227
                  3981.526                   3985.610                   3988.359
                  3989.709                   3989.662                   3988.358
                  3986.073                   3983.229                   3980.321
                  3977.800                   3976.012                   3975.138
                  3975.193                   3976.034                   3977.456
                  3979.264                   3981.348                   3983.720
                  3986.489                   3989.747                   3993.479
                  3997.515                   4001.551                   4005.192
                  4008.070                   4009.881                   4010.451
                  4009.748                   4007.894                   4005.152
                  4001.868                   3998.421                   3995.139
                  3992.239                   3989.791                   3987.757
                  3986.045                   3984.575                   3983.333
                  3982.374                   3981.802                   3981.718
                  3982.178                   3983.151                   3984.550
                  3986.248                   3988.123                   3990.065
                  3991.935                   3993.568                   3994.738
                  3995.189                   3994.695                   3993.109
                  3990.462                   3986.947                   3982.917
                  3978.797                   3975.045                   3972.059
                  3970.147                   3969.504                   3970.181
                  3972.101                   3975.057                   3978.723
                  3982.704                   3986.601                   3990.035
                  3992.731                   3994.521                   3995.354
                  3995.264                   3994.342                   3992.720
                  3990.550                   3988.020                   3985.353
                  3982.799                   3980.594                   3978.955
                  3978.038                   3977.918                   3978.585
                  3979.956                   3981.901                   3984.259
                  3986.883                   3989.622                   3992.333
                  3994.873                   3997.090                   3998.804
                  3999.852                   4000.112                   3999.544
                  3998.215                   3996.289                   3994.006
                  3991.594                   3989.267                   3987.175
                  3985.433                   3984.101                   3983.211
                  3982.751                   3982.692                   3983.000
                  3983.663                   3984.708                   3986.156
                  3988.011                   3990.234                   3992.741
                  3995.405                   3998.063                   4000.562
                  4002.767                   4004.593                   4006.000
                  4006.980                   4007.533                   4007.657
                  4007.337                   4006.555                   4005.318
                  4003.663                   4001.670                   3999.471
                  3997.234                   3995.141                   3993.343
                  3991.933                   3990.919                   3990.229
                  3989.739                   3989.321                   3988.859
                  3988.290                   3987.614                   3986.875
                  3986.161                   3985.587                   3985.265
                  3985.277                   3985.665                   3986.414
                  3987.453                   3988.679                   3989.969
                  3991.226                   3992.383                   3993.412
                  3994.314                   3995.104                   3995.784
                  3996.336                   3996.730                   3996.932
                  3996.919                   3996.678                   3996.207
                  3995.513                   3994.594                   3993.450
                  3992.083                   3990.525                   3988.835
                  3987.107                   3985.441                   3983.935
                  3982.660                   3981.657                   3980.940
                  3980.504                   3980.367                   3980.560
                  3981.146                   3982.177                   3983.678
                  3985.617                   3987.907                   3990.434
                  3993.093                   3995.773                   3998.360
                  4000.733                   4002.779                   4004.439
                  4005.732                   4006.759                   4007.670
                  4008.593                   4009.591                   4010.630
                  4011.598                   4012.342                   4012.707
                  4012.595                   4011.975                   4010.888
                  4009.415                   4007.647                   4005.645
                  4003.443                   4001.064                   3998.543
                  3995.933                   3993.320                   3990.807
                  3988.493                   3986.467                   3984.795
                  3983.516                   3982.638                   3982.134
                  3981.938                   3981.939                   3982.003
                  3981.990                   3981.780                   3981.310
                  3980.581                   3979.669                   3978.717
                  3977.890                   3977.358                   3977.254
                  3977.688                   3978.731                   3980.425
                  3982.765                   3985.682                   3989.026
                  3992.565                   3996.023                   3999.119
                  4001.623                   4003.398                   4004.410
                  4004.715                   4004.435                   4003.730
                  4002.787                   4001.822                   4001.069
                  4000.755                   4001.080                   4002.170
                  4004.046                   4006.610                   4009.651
                  4012.881                   4015.979                   4018.636
                  4020.601                   4021.684                   4021.781
                  4020.871                   4019.009                   4016.307
                  4012.929                   4009.059                   4004.888
                  4000.588                   3996.317                   3992.205
                  3988.364                   3984.898                   3981.887
                  3979.396                   3977.467                   3976.121
                  3975.344                   3975.089                   3975.271
                  3975.770                   3976.448                   3977.158
                  3977.775                   3978.211                   3978.437
                  3978.483                   3978.437                   3978.433
                  3978.634                   3979.193                   3980.229
                  3981.791                   3983.847                   3986.290
                  3988.962                   3991.688                   3994.312
                  3996.730                   3998.887                   4000.758
                  4002.316                   4003.508                   4004.261
                  4004.519                   4004.263                   4003.537
                  4002.456                   4001.205                   4000.003
                  3999.079                   3998.619                   3998.750
                  3999.509                   4000.847                   4002.643
                  4004.716                   4006.843                   4008.790
                  4010.343                   4011.347                   4011.730
                  4011.515                   4010.800                   4009.732
                  4008.471                   4007.161                   4005.910
                  4004.782                   4003.800                   4002.950
                  4002.186                   4001.441                   4000.635
                  3999.692                   3998.550                   3997.179
                  3995.582                   3993.812                   3991.956
                  3990.124                   3988.431                   3986.983
                  3985.863                   3985.127                   3984.813
                  3984.928                   3985.458                   3986.352
                  3987.539                   3988.924                   3990.407
                  3991.887                   3993.285                   3994.538
                  3995.600                   3996.444                   3997.054
                  3997.433                   3997.606                   3997.623
                  3997.554                   3997.472                   3997.441
                  3997.502                   3997.659                   3997.893
                  3998.162                   3998.414                   3998.590
                  3998.643                   3998.542                   3998.286
                  3997.899                   3997.417                   3996.875
                  3996.297                   3995.697                   3995.087
                  3994.483                   3993.907                   3993.377
                  3992.907                   3992.497                   3992.129
                  3991.786                   3991.452                   3991.124
                  3990.822                   3990.577                   3990.433
                  3990.432                   3990.601                   3990.946
                  3991.448                   3992.081                   3992.816
                  3993.633                   3994.521                   3995.476
                  3996.487                   3997.529                   3998.553
                  3999.501                   4000.313                   4000.943
